Parking_ID,Location,Date,Time,Total_Slots,Available_Slots,Occupied_Slots,Vehicle_Type,Parking_Status,Entry_Count,Exit_Count,Revenue,Sensor_Status
P0001,Porur,2026-06-22,20:12,186,126,60,Truck,Full,20,18,1320,Active
P0002,Anna Nagar,2026-04-24,22:23,87,11,76,Car,Full,106,91,1824,Inactive
P0003,Guindy,2026-06-29,02:57,78,34,44,Bike,Available,150,83,1496,Active
P0004,Velachery,2026-06-11,23:47,212,169,43,Car,Full,115,24,1204,Active
P0005,Tambaram,2026-04-30,14:04,129,102,27,Truck,Full,150,15,2052,Inactive
P0006,Anna Nagar,2026-02-17,12:53,234,25,209,Truck,Full,93,66,12331,Active
P0007,OMR,2026-01-23,01:25,114,95,19,Car,Available,40,30,1501,Active
P0008,OMR,2026-03-25,03:49,128,27,101,Bike,Available,43,21,6363,Inactive
P0009,Anna Nagar,2026-06-09,07:25,216,9,207,Bike,Available,88,17,14697,Active
P0010,OMR,2026-06-19,10:26,235,216,19,Car,Full,113,76,1273,Active
P0011,Guindy,2026-02-28,10:18,235,68,167,Truck,Available,65,20,7849,Inactive
P0012,T Nagar,2026-05-20,13:09,121,66,55,Car,Full,140,66,2970,Inactive
P0013,Tambaram,2026-02-24,03:19,300,285,15,Bike,Available,98,24,375,Inactive
P0014,Velachery,2026-05-07,11:56,119,90,29,Truck,Available,130,68,1682,Active
P0015,Guindy,2026-06-19,09:45,123,50,73,Bike,Full,81,35,1460,Inactive
P0016,Guindy,2026-05-31,20:23,65,33,32,EV,Available,126,11,1664,Inactive
P0017,Velachery,2026-06-02,15:50,168,95,73,EV,Full,84,38,5110,Inactive
P0018,Guindy,2026-03-23,11:36,229,66,163,Car,Available,143,134,11899,Active
P0019,Anna Nagar,2026-01-11,16:14,219,92,127,EV,Full,45,19,6985,Inactive
P0020,Guindy,2026-06-09,07:00,121,104,17,Car,Available,69,50,1326,Inactive
P0021,T Nagar,2026-03-27,00:48,175,100,75,Truck,Available,132,97,3450,Active
P0022,Adyar,2026-03-07,22:03,85,13,72,Car,Available,46,21,1944,Active
P0023,Velachery,2026-01-11,18:56,51,13,38,Bike,Full,20,11,2318,Active
P0024,Velachery,2026-04-26,06:20,157,70,87,Truck,Available,22,21,4524,Active
P0025,Anna Nagar,2026-01-30,22:43,200,8,192,EV,Full,147,29,4992,Active
P0026,OMR,2026-04-10,07:48,193,165,28,Bike,Available,80,43,560,Active
P0027,Velachery,2026-01-26,14:59,137,87,50,EV,Available,144,75,2400,Active
P0028,Velachery,2026-03-16,04:59,231,143,88,Bike,Available,60,25,3080,Inactive
P0029,Tambaram,2026-02-15,13:35,234,126,108,Bike,Available,126,55,5832,Active
P0030,Velachery,2026-04-13,21:18,208,108,100,Bike,Available,132,119,5300,Inactive
P0031,Tambaram,2026-03-04,18:12,93,67,26,Bike,Available,28,12,728,Active
P0032,Guindy,2026-04-16,16:34,278,238,40,Car,Full,128,32,1840,Inactive
P0033,Anna Nagar,2026-01-21,23:14,248,234,14,Car,Full,31,30,322,Inactive
P0034,Porur,2026-01-13,15:31,254,206,48,EV,Full,76,64,3600,Active
P0035,T Nagar,2026-01-03,14:59,77,55,22,Bike,Available,25,14,1650,Inactive
P0036,OMR,2026-04-03,11:06,113,23,90,Car,Available,112,110,5760,Inactive
P0037,Tambaram,2026-01-08,12:18,198,179,19,Car,Available,61,29,665,Active
P0038,OMR,2026-04-09,00:54,293,195,98,Truck,Full,141,117,7742,Inactive
P0039,Porur,2026-03-28,04:42,246,17,229,Car,Available,63,36,4580,Active
P0040,Velachery,2026-02-06,03:27,54,11,43,Car,Full,92,50,2580,Active
P0041,Guindy,2026-01-04,20:38,189,131,58,Bike,Full,65,57,2668,Active
P0042,Tambaram,2026-03-23,20:17,165,142,23,Bike,Available,124,83,805,Inactive
P0043,Velachery,2026-05-01,08:03,88,57,31,Car,Available,138,97,2356,Inactive
P0044,Tambaram,2026-03-16,14:50,199,51,148,Truck,Available,52,44,7992,Inactive
P0045,Guindy,2026-01-18,08:42,68,2,66,EV,Available,129,28,4092,Active
P0046,Tambaram,2026-02-27,15:12,60,27,33,Car,Available,81,63,1221,Inactive
P0047,Guindy,2026-01-28,05:41,97,30,67,EV,Full,92,38,4288,Inactive
P0048,Velachery,2026-06-16,11:03,66,29,37,Truck,Available,66,53,2590,Active
P0049,Anna Nagar,2026-03-25,06:27,147,8,139,Car,Available,97,52,5282,Active
P0050,OMR,2026-05-07,14:04,155,54,101,Bike,Full,23,10,2121,Inactive
P0051,T Nagar,2026-06-26,05:40,215,4,211,Bike,Full,41,32,15825,Inactive
P0052,Anna Nagar,2026-05-22,11:57,127,101,26,Car,Full,66,43,1300,Inactive
P0053,Guindy,2026-04-24,10:04,262,83,179,Truck,Full,120,11,13604,Inactive
P0054,Anna Nagar,2026-05-21,14:02,283,179,104,Bike,Available,27,20,3224,Inactive
P0055,Anna Nagar,2026-06-08,19:34,114,14,100,EV,Available,60,42,2900,Inactive
P0056,Porur,2026-05-17,08:46,216,124,92,EV,Full,57,51,3680,Inactive
P0057,Adyar,2026-03-29,01:31,194,13,181,Bike,Full,129,39,5973,Inactive
P0058,Guindy,2026-02-06,19:54,130,27,103,Truck,Full,143,60,7828,Inactive
P0059,Velachery,2026-06-04,15:45,234,138,96,Truck,Available,27,25,7200,Inactive
P0060,Tambaram,2026-05-27,02:47,278,224,54,EV,Full,102,56,4266,Active
P0061,Anna Nagar,2026-02-18,20:51,98,51,47,Truck,Available,38,20,1128,Inactive
P0062,Porur,2026-06-10,21:46,276,86,190,EV,Available,81,42,12730,Inactive
P0063,Porur,2026-03-22,01:24,143,96,47,Bike,Full,50,22,2491,Active
P0064,Guindy,2026-01-08,00:04,167,111,56,Car,Full,23,23,1848,Active
P0065,Guindy,2026-04-22,13:50,247,24,223,Car,Available,46,27,11373,Active
P0066,T Nagar,2026-05-19,15:40,150,48,102,Bike,Full,136,60,7344,Inactive
P0067,Porur,2026-03-30,01:40,272,42,230,Car,Full,48,38,14490,Inactive
P0068,T Nagar,2026-06-01,16:51,249,1,248,Bike,Full,60,46,16120,Active
P0069,Guindy,2026-02-02,02:56,59,20,39,Bike,Available,44,13,975,Inactive
P0070,Adyar,2026-04-01,00:30,112,97,15,Truck,Available,140,36,900,Inactive
P0071,Tambaram,2026-03-12,07:29,229,15,214,Truck,Full,149,20,5992,Inactive
P0072,Porur,2026-03-16,12:54,236,8,228,EV,Full,123,107,17556,Active
P0073,Guindy,2026-02-14,10:34,230,110,120,EV,Available,72,67,4560,Active
P0074,T Nagar,2026-04-29,08:30,67,41,26,Truck,Full,92,42,1066,Inactive
P0075,OMR,2026-01-26,18:50,126,48,78,Car,Available,137,109,2886,Inactive
P0076,Porur,2026-06-27,18:42,120,47,73,Truck,Full,140,66,4453,Active
P0077,Velachery,2026-05-31,14:03,199,109,90,Bike,Full,50,34,4140,Inactive
P0078,Guindy,2026-03-01,12:21,292,80,212,Car,Full,80,15,12084,Active
P0079,Tambaram,2026-01-14,23:33,166,77,89,Truck,Full,102,76,4984,Inactive
P0080,OMR,2026-05-31,20:16,283,179,104,Truck,Available,85,19,4784,Active
P0081,Porur,2026-03-16,04:53,185,143,42,EV,Available,41,25,1386,Active
P0082,Guindy,2026-03-07,23:45,268,250,18,Car,Available,25,17,540,Active
P0083,Adyar,2026-05-15,00:35,230,52,178,Car,Available,31,20,10146,Inactive
P0084,Porur,2026-06-22,17:07,200,161,39,Bike,Full,51,14,2691,Active
P0085,Porur,2026-02-09,03:53,259,108,151,Bike,Available,61,37,8456,Active
P0086,Anna Nagar,2026-02-25,21:42,82,38,44,Car,Full,56,38,1232,Active
P0087,Anna Nagar,2026-01-04,01:11,89,21,68,Bike,Full,72,47,2788,Inactive
P0088,Guindy,2026-01-19,17:12,68,14,54,Truck,Full,143,140,3294,Inactive
P0089,T Nagar,2026-04-02,18:45,106,30,76,Car,Available,79,18,1596,Active
P0090,Tambaram,2026-05-15,06:19,227,85,142,Bike,Available,20,17,4970,Inactive
P0091,Velachery,2026-05-12,15:47,128,76,52,Truck,Full,121,19,3484,Active
P0092,Guindy,2026-06-30,14:39,278,204,74,EV,Available,129,20,2664,Active
P0093,Porur,2026-02-07,05:12,225,210,15,EV,Full,61,35,495,Inactive
P0094,T Nagar,2026-02-15,20:43,165,54,111,Bike,Full,132,38,5883,Inactive
P0095,OMR,2026-02-09,17:21,83,34,49,EV,Full,86,60,1715,Inactive
P0096,Guindy,2026-05-17,19:15,265,84,181,Bike,Available,141,89,5430,Inactive
P0097,Porur,2026-03-12,01:50,254,127,127,Bike,Available,141,64,6096,Active
P0098,Porur,2026-06-30,22:31,164,38,126,Truck,Full,66,65,7686,Active
P0099,Guindy,2026-03-03,14:10,113,69,44,EV,Available,37,25,3388,Active
P0100,T Nagar,2026-02-02,03:38,124,92,32,Bike,Available,122,75,1472,Active
P0101,Adyar,2026-02-23,01:44,291,203,88,Bike,Available,116,113,3168,Inactive
P0102,Guindy,2026-03-13,01:44,138,113,25,Bike,Full,47,28,1975,Active
P0103,Tambaram,2026-01-06,19:49,113,51,62,Car,Available,103,33,3968,Inactive
P0104,Porur,2026-01-06,09:26,109,86,23,EV,Full,98,34,920,Active
